Team,ERA,Wins,,,
COL,5.56,59,,,
KCA,5.42,56,,,
OAK,5.38,50,,,
SLN,5.18,71,,,
WAS,5.08,71,,,
CHA,4.88,61,,,
CIN,4.74,82,,Row Labels,Sum of Wins
PIT,4.69,76,,3.67,92
ANA,4.67,73,,3.81,101
ARI,4.55,84,,3.82,89
BOS,4.46,78,,3.91,98
NYN,4.33,75,,3.93,82
LAN,4.32,100,,3.97,87
DET,4.23,78,,3.98,180
TEX,4.15,90,,4.01,82
CLE,4.11,76,,4.02,104
SEA,4.1,88,,4.05,79
CHN,4.1,83,,4.07,84
MIA,4.07,84,,4.1,171
SFN,4.05,79,,4.11,76
ATL,4.02,104,,4.15,90
NYA,4.01,82,,4.23,78
HOU,3.98,90,,4.32,100
PHI,3.98,90,,4.33,75
MIN,3.97,87,,4.46,78
SDN,3.93,82,,4.55,84
TBA,3.91,98,,4.67,73
TOR,3.82,89,,4.69,76
BAL,3.81,101,,4.74,82
MIL,3.67,92,,4.88,61
,,,,5.08,71
,,,,5.18,71
,,,,5.38,50
,,,,5.42,56
,,,,5.56,59
,,,,Grand Total,2429